1.0 = Dog, Animal
1.0 = Sharks, Fish
1.0 = Parent, GrandParent
1.0 = Orange, Fruit
1.0 = Rose, Plant
0.8 = Pet, Animal
0.8 = Programmer, Employee
0.8 = Student, Person
0.8 = Novel, Literature
0.8 = Watch, Electronics
0.8 = Dictionary, Book
0.5 = NeuroRobot, Organism
0.5 = Car, Transportation
0.5 = Life, Organisation
0.5 = Language, Organism
0.5 = CabinAttendant, Male
0.5 = Butter, Goat
0.3 = Fish, Pet
0.3 = Plant, Food
0.3 = Orange, Vegetable
0.3 = Tablet, PersonalComputer
0.3 = NewsPaper, Book
0.3 = NuclearPlant, SustainableEnergy
0.3 = Comic, Literature
0.1 = Movie, Novel
0.1 = Song, Movie
0.1 = Fish, Bird
0.1 = Robot, Human
0.1 = Car, Animal
0.1 = Whale, Fish
