1.0 = Cat, Animal
1.0 = Sharks, Fish
1.0 = Son, Parent
1.0 = Egg, Chicken
1.0 = Apple, Fruit
1.0 = Orange, Fruit
1.0 = Grass, Plant
1.0 = Rose, Plant
0.8 = Pet, Animal
0.8 = Doctor, Employee
0.8 = Programmer, Employee
0.8 = Student, Person
0.8 = Novel, Literature
0.8 = Essay, Literature
0.8 = Clock, Electronics
0.8 = Watch, Electronics
0.8 = Dictionary, Book
0.5 = NeuroRobot, Organism
0.5 = DigitalMarketing, IT
0.5 = Car, Transportation
0.5 = ChatBot, AI
0.5 = Language, Organism
0.5 = Banana, Sweet
0.5 = CabinAttendant, Male
0.5 = Butter, Goat
0.3 = Earth, Organism
0.3 = Fish, Pet
0.3 = Wolf, Pet
0.3 = Tablet, PersonalComputer
0.3 = NewsPaper, Book
0.3 = NuclearPlant, SustainableEnergy
0.3 = Comic, Literature
0.1 = Human, AI
0.1 = Painting, Sculpture
0.1 = Song, Movie
0.1 = Microwave, Organism
0.1 = Robot, Human
0.1 = Car, Animal
0.1 = Whale, Fish
0.1 = Bat, Bird
