step,axiom,depth,impact,max_depth,repair_cost,violation_score
1,"jah ⊑ lnp, p=1.0",25,0.0,32,0.5,247.0
2,"zwc ⊑ VIV, p=1.0",19,0.0,32,0.5,246.0
3,"WJF ⊑ OCN, p=1.0",32,0.0,32,0.5,245.0
4,"OgK ⊑ LSv, p=1.0",32,0.0,32,0.5,244.0
5,"OCN ⊑ tsm, p=1.0",23,0.0,32,0.5,242.0
6,"LSv ⊑ zXA, p=1.0",4,0.0,32,0.5,241.0
7,"OCN ⊑ vkW, p=1.0",26,0.0,32,0.5,240.0
8,"jah ⊑ uEE, p=1.0",32,0.0,32,0.5,238.0
9,"uEE ⊑ KxB, p=1.0",31,0.0,31,0.5,236.0
10,"LSv ⊑ fYH, p=1.0",26,0.0,31,0.5,234.0
11,"uEE ⊑ mpZ, p=1.0",10,0.0,31,0.5,232.0
12,"LSv ⊑ MOb, p=1.0",31,0.0,31,0.5,231.0
13,"OCN ⊑ PmV, p=1.0",31,0.0,31,0.5,230.0
14,"KxB ⊑ mHi, p=1.0",30,0.0,30,0.5,224.0
15,"OCN ⊑ BBS, p=1.0",24,0.0,30,0.5,222.0
16,"MOb ⊑ Xww, p=1.0",30,0.0,30,0.5,221.0
17,"Xww ⊑ ODt, p=1.0",29,0.0,30,0.5,219.0
18,"MOb ⊑ YYd, p=1.0",24,0.0,30,0.5,218.0
19,"ODt ⊑ sCZ, p=1.0",28,0.0,30,0.5,217.0
20,"sCZ ⊑ YRo, p=1.0",11,0.0,30,0.5,214.0
21,"KxB ⊑ ELZ, p=1.0",30,0.0,30,0.5,213.0
22,"ELZ ⊑ vpj, p=1.0",7,0.0,30,0.5,212.0
23,"sCZ ⊑ QTn, p=1.0",27,0.0,30,0.5,211.0
24,"QTn ⊑ vkW, p=1.0",26,0.0,30,0.5,209.0
25,"ODt ⊑ sYj, p=1.0",23,0.0,30,0.5,208.0
26,"Xww ⊑ YRo, p=1.0",11,0.0,30,0.5,207.0
27,"PmV ⊑ mHi, p=1.0",30,0.0,30,0.5,206.0
28,"mHi ⊑ QIs, p=1.0",15,0.0,29,0.5,205.0
29,"mHi ⊑ Odd, p=1.0",29,0.0,29,0.5,204.0
30,"vkW ⊑ ieM, p=1.0",25,0.0,29,0.5,203.0
31,"Odd ⊑ osk, p=1.0",28,0.0,29,0.5,200.0
32,"ELZ ⊑ Jba, p=1.0",29,0.0,29,0.5,198.0
33,"osk ⊑ mtw, p=1.0",27,0.0,28,0.5,197.0
34,"mtw ⊑ QIs, p=1.0",15,0.0,28,0.5,196.0
35,"ieM ⊑ BBS, p=1.0",24,0.0,28,0.5,195.0
36,"Jba ⊑ WaF, p=1.0",28,0.0,28,0.5,191.0
37,"osk ⊑ mJK, p=1.0",5,0.0,27,0.5,189.0
38,"BBS ⊑ tsm, p=1.0",23,0.0,27,0.5,188.0
39,"tsm ⊑ FkS, p=1.0",22,0.0,27,0.5,186.0
40,"Jba ⊑ pJN, p=1.0",8,0.0,27,0.5,185.0
41,"WaF ⊑ PTl, p=1.0",27,0.0,27,0.5,184.0
42,"FkS ⊑ pXt, p=1.0",8,0.0,26,0.5,182.0
43,"mtw ⊑ usY, p=1.0",26,0.0,26,0.5,181.0
44,"mHi ⊑ GZQ, p=1.0",9,0.0,26,0.5,179.0
45,"FkS ⊑ hKm, p=1.0",21,0.0,26,0.5,178.0
46,"usY ⊑ lnp, p=1.0",25,0.0,26,0.5,177.0
47,"hKm ⊑ pXt, p=1.0",8,0.0,26,0.5,175.0
48,"lnp ⊑ KRy, p=1.0",24,0.0,26,0.5,174.0
49,"KRy ⊑ NLh, p=1.0",3,0.0,26,0.5,173.0
50,"WaF ⊑ qcL, p=1.0",4,0.0,26,0.5,172.0
51,"hKm ⊑ UFb, p=1.0",20,0.0,26,0.5,171.0
52,"PTl ⊑ fYH, p=1.0",26,0.0,26,0.5,169.0
53,"KRy ⊑ XhM, p=1.0",13,0.0,25,0.5,167.0
54,"UFb ⊑ CuW, p=1.0",17,0.0,25,0.5,166.0
55,"KRy ⊑ bXy, p=1.0",10,0.0,25,0.5,165.0
56,"Jba ⊑ tRD, p=1.0",23,0.0,25,0.5,164.0
57,"fYH ⊑ kak, p=1.0",14,0.0,25,0.5,163.0
58,"UFb ⊑ VIV, p=1.0",19,0.0,25,0.5,162.0
59,"VIV ⊑ pXt, p=1.0",8,0.0,25,0.5,161.0
60,"fYH ⊑ Kat, p=1.0",25,0.0,25,0.5,160.0
61,"VIV ⊑ Efs, p=1.0",18,0.0,24,0.5,159.0
62,"Kat ⊑ jpW, p=1.0",19,0.0,24,0.5,158.0
63,"VIV ⊑ YRo, p=1.0",11,0.0,24,0.5,157.0
64,"Kat ⊑ YYd, p=1.0",24,0.0,24,0.5,156.0
