step,axiom,depth,impact,max_depth,shapley_score,violation_score
1,"iru ⊑ lqk, p=1.0",8,0.7171717171717171,32,5.293,243.0
2,"XJf ⊑ KAx, p=1.0",8,0.5757575757575758,32,5.047,232.0
3,"HbT ⊑ goH, p=1.0",9,0.3939393939393939,32,4.372,228.0
4,"pgT ⊑ bQI, p=1.0",3,0.7171717171717171,32,4.628,215.0
5,"VzX ⊑ bQI, p=1.0",3,0.26262626262626265,32,3.511,210.0
6,"ECQ ⊑ AZy, p=1.0",4,0.6767676767676768,32,3.32,204.0
7,"ECQ ⊑ ilM, p=1.0",4,0.6767676767676768,32,5.171,201.0
8,"RmP ⊑ Jzi, p=1.0",7,0.5757575757575758,30,3.443,195.0
9,"VkM ⊑ lIY, p=1.0",5,0.1919191919191919,25,3.269,185.0
10,"VkM ⊓ wnl = ∅, p=1.0",3,0.45454545454545453,25,3.295,177.0
11,"ECQ ⊓ lIl = ∅, p=1.0",1,0.7474747474747475,25,3.103,173.0
12,"uOS ⊑ nui, p=1.0",10,0.31313131313131315,25,3.04,165.0
13,"mqO ⊑ uKP, p=1.0",4,0.5252525252525253,25,3.988,160.0
14,"JOh ⊑ jhK, p=1.0",6,0.25252525252525254,25,2.704,148.0
15,"CUJ ⊑ uMF, p=1.0",16,0.1111111111111111,25,2.957,142.0
16,"XJf ⊓ Frt = ∅, p=1.0",5,0.494949494949495,22,2.825,129.0
17,"tqI ⊑ kUi, p=1.0",16,0.06060606060606061,22,2.544,116.0
18,"dyb ⊑ bDY, p=1.0",10,0.06060606060606061,20,2.286,103.0
19,"IQY ⊑ lBP, p=1.0",18,0.030303030303030304,20,2.315,96.0
20,"HbT ⊑ feC, p=1.0",3,0.16161616161616163,19,1.93,92.0
21,"lFi ⊑ JNI, p=1.0",14,0.0707070707070707,19,2.005,84.0
22,"VXe ⊑ KqY, p=1.0",5,0.0707070707070707,15,1.999,73.0
23,"CIJ ⊑ ZPf, p=1.0",8,0.030303030303030304,15,2.034,69.0
24,"KAx ⊑ bQI, p=1.0",3,0.0,15,1.834,59.0
25,"leZ ⊑ iru, p=1.0",2,0.04040404040404041,15,1.729,53.0
26,"ydY ⊑ uKP, p=1.0",4,0.010101010101010102,15,1.987,49.0
27,"waU ⊑ bGy, p=1.0",7,0.020202020202020204,15,1.577,43.0
28,"IQY ⊑ lIY, p=1.0",5,0.030303030303030304,15,1.46,36.0
29,"hpD ⊑ sZU, p=1.0",11,0.020202020202020204,15,1.25,30.0
30,"diG ⊑ MZj, p=1.0",11,0.010101010101010102,15,1.145,21.0
31,"Oec ⊑ IQY, p=1.0",5,0.0,15,0.976,17.0
32,"mqO ⊑ TJz, p=1.0",4,0.23232323232323232,15,0.687,14.0
33,"Ght ⊑ tRf, p=1.0",11,0.020202020202020204,15,0.869,10.0
34,"TEu ⊑ iru, p=1.0",2,0.23232323232323232,15,0.668,6.0
35,"Oec ⊑ EdI, p=1.0",15,0.0,15,0.482,2.0
